#Time, x, y, z
0.00083	                                          Total                            :       3.85849e+08       -7429.25       -5.90532e+06
0.00084	                                          Total                            :       251396       3.58868e+09       3.14524
0.00085	                                          Total                            :       3.77569e+08       -7496.93       -5.78388e+06
0.00086	                                          Total                            :       260552       3.50824e+09       12.5104
0.00087	                                          Total                            :       3.69014e+08       -7339.02       -5.68669e+06
0.00088	                                          Total                            :       251997       3.42482e+09       0.911081
0.00089	                                          Total                            :       3.60732e+08       -8067.64       -5.5975e+06
0.0009	                                          Total                            :       257520       3.34418e+09       10.5151
0.00091	                                          Total                            :       3.5301e+08       -7008.14       -5.51866e+06
0.00092	                                          Total                            :       235290       3.26997e+09       2.95638
0.00093	                                          Total                            :       3.45602e+08       -6530.68       -5.40391e+06
0.00094	                                          Total                            :       220523       3.19977e+09       11.1444
0.00095	                                          Total                            :       3.38364e+08       -6287.75       -5.30618e+06
0.00096	                                          Total                            :       212002       3.13088e+09       4.93589
0.00097	                                          Total                            :       3.31449e+08       -5720.14       -5.22575e+06
0.00098	                                          Total                            :       199383       3.06465e+09       13.5937
0.00099	                                          Total                            :       3.24834e+08       -7928.87       -5.13269e+06
0.001	                                          Total                            :       218961       3.0015e+09       -1.28291
0.00101	                                          Total                            :       3.18448e+08       -7042.91       -5.03457e+06
0.00102	                                          Total                            :       200028       2.94049e+09       7.84848
0.00103	                                          Total                            :       3.12208e+08       -6669.35       -4.94686e+06
0.00104	                                          Total                            :       181938       2.88116e+09       1.50362
0.00105	                                          Total                            :       3.06307e+08       -5035.59       -4.85303e+06
0.00106	                                          Total                            :       155566       2.82554e+09       4.83645
0.00107	                                          Total                            :       3.00454e+08       -4431.83       -4.76507e+06
0.00108	                                          Total                            :       138735       2.76957e+09       -1.29239
0.00109	                                          Total                            :       2.94793e+08       -3837.98       -4.68251e+06
0.0011	                                          Total                            :       123337       2.71606e+09       5.22889
0.00111	                                          Total                            :       2.89195e+08       -4571.06       -4.60782e+06
0.00112	                                          Total                            :       122960       2.6621e+09       0.489294
0.00113	                                          Total                            :       2.83763e+08       -2800.22       -4.53109e+06
0.00114	                                          Total                            :       103126       2.60931e+09       2.04537
0.00115	                                          Total                            :       2.78825e+08       -3832.03       -4.46206e+06
0.00116	                                          Total                            :       99829.1       2.56294e+09       -1.17422
0.00117	                                          Total                            :       2.73868e+08       -3363.2       -4.38894e+06
0.00118	                                          Total                            :       85527.6       2.51664e+09       0.575756
0.00119	                                          Total                            :       2.69006e+08       -2980.33       -4.32236e+06
0.0012	                                          Total                            :       75752.4       2.4709e+09       0.275892
0.00121	                                          Total                            :       2.64357e+08       -2353.19       -4.25206e+06
0.00122	                                          Total                            :       59534.7       2.42717e+09       2.99705
0.00123	                                          Total                            :       2.60019e+08       -1848.33       -4.18582e+06
0.00124	                                          Total                            :       39335.3       2.38722e+09       -1.53129
0.00125	                                          Total                            :       2.55632e+08       -2769.3       -4.11843e+06
0.00126	                                          Total                            :       48400.3       2.3461e+09       -4.28553
0.00127	                                          Total                            :       2.51361e+08       -1937.68       -4.05971e+06
0.00128	                                          Total                            :       28878.7       2.30571e+09       -2.45933
0.00129	                                          Total                            :       2.47179e+08       -1805.3       -3.99942e+06
0.0013	                                          Total                            :       23072.1       2.26597e+09       -0.675693
0.00131	                                          Total                            :       2.43039e+08       -1366.08       -3.94363e+06
0.00132	                                          Total                            :       9617.23       2.22653e+09       -2.99395
0.00133	                                          Total                            :       2.39111e+08       -1305.03       -3.87439e+06
0.00134	                                          Total                            :       4335.67       2.18935e+09       -3.58388
0.00135	                                          Total                            :       2.35267e+08       -1598.52       -3.80545e+06
0.00136	                                          Total                            :       8308.86       2.15355e+09       -4.19183
0.00137	                                          Total                            :       2.31468e+08       -1078.19       -3.72751e+06
0.00138	                                          Total                            :       -2721.89       2.11757e+09       -5.53846
0.00139	                                          Total                            :       2.27877e+08       -1281.82       -3.65585e+06
0.0014	                                          Total                            :       -6052.36       2.08412e+09       -5.86812
0.00141	                                          Total                            :       2.24401e+08       -888.396       -3.58424e+06
0.00142	                                          Total                            :       -14871.8       2.05229e+09       -2.07952
0.00143	                                          Total                            :       2.21034e+08       -1145.82       -3.52547e+06
0.00144	                                          Total                            :       -12645.3       2.02064e+09       -3.7402
0.00145	                                          Total                            :       2.17802e+08       -821.298       -3.46654e+06
0.00146	                                          Total                            :       -21263.2       1.99093e+09       -3.8999
0.00147	                                          Total                            :       2.1475e+08       -850.294       -3.41426e+06
0.00148	                                          Total                            :       -24016       1.96326e+09       -4.60403
0.00149	                                          Total                            :       2.11632e+08       -695.757       -3.35892e+06
0.0015	                                          Total                            :       -24903.2       1.93437e+09       -4.23742
0.00151	                                          Total                            :       2.08585e+08       -245.744       -3.30895e+06
0.00152	                                          Total                            :       -34718.7       1.90609e+09       -3.47224
0.00153	                                          Total                            :       2.05598e+08       96.6538       -3.25622e+06
0.00154	                                          Total                            :       -46264.3       1.87833e+09       -5.94371
0.00155	                                          Total                            :       2.02763e+08       42.9194       -3.20841e+06
0.00156	                                          Total                            :       -44372       1.85143e+09       -2.03764
0.00157	                                          Total                            :       1.99946e+08       -92.2035       -3.15853e+06
0.00158	                                          Total                            :       -41935.1       1.82536e+09       -0.0696264
0.00159	                                          Total                            :       1.97205e+08       196.814       -3.1134e+06
0.0016	                                          Total                            :       -46867.2       1.80014e+09       -5.95044
0.00161	                                          Total                            :       1.94535e+08       -71.6649       -3.06658e+06
0.00162	                                          Total                            :       -44302.1       1.77542e+09       -6.7936
0.00163	                                          Total                            :       1.9194e+08       -213.463       -3.02232e+06
0.00164	                                          Total                            :       -44083.5       1.7513e+09       -9.35585
0.00165	                                          Total                            :       1.89388e+08       -233.493       -2.97636e+06
0.00166	                                          Total                            :       -46295.5       1.72735e+09       -9.30429
0.00167	                                          Total                            :       1.86973e+08       102.885       -2.93497e+06
0.00168	                                          Total                            :       -50536       1.70509e+09       -8.08042
0.00169	                                          Total                            :       1.84699e+08       94.7668       -2.89159e+06
0.0017	                                          Total                            :       -50972.1       1.68476e+09       -6.72114
0.00171	                                          Total                            :       1.82359e+08       93.3812       -2.85069e+06
0.00172	                                          Total                            :       -51436.7       1.66277e+09       -4.82369
0.00173	                                          Total                            :       1.80054e+08       333.853       -2.81077e+06
0.00174	                                          Total                            :       -56753.1       1.64148e+09       -5.97239
0.00175	                                          Total                            :       1.77808e+08       325.868       -2.7729e+06
0.00176	                                          Total                            :       -55717.9       1.62072e+09       -6.2112
0.00177	                                          Total                            :       1.75617e+08       274.821       -2.73262e+06
0.00178	                                          Total                            :       -55262.9       1.60043e+09       -6.42629
0.00179	                                          Total                            :       1.73489e+08       1488.66       -2.69639e+06
0.0018	                                          Total                            :       -69070.4       1.58075e+09       -7.04969
0.00181	                                          Total                            :       1.71423e+08       270.83       -2.65815e+06
0.00182	                                          Total                            :       -54067.8       1.5615e+09       -4.32521
0.00183	                                          Total                            :       1.69379e+08       291.196       -2.62376e+06
0.00184	                                          Total                            :       -55353.2       1.54271e+09       -6.64781
0.00185	                                          Total                            :       1.67387e+08       458.988       -2.58721e+06
0.00186	                                          Total                            :       -56449.8       1.52439e+09       -4.79318
0.00187	                                          Total                            :       1.65455e+08       406.643       -2.55326e+06
0.00188	                                          Total                            :       -57952.2       1.50654e+09       -4.71888
0.00189	                                          Total                            :       1.63554e+08       181.501       -2.51858e+06
0.0019	                                          Total                            :       -56091.1       1.48909e+09       -5.24368
0.00191	                                          Total                            :       1.61706e+08       634.611       -2.48556e+06
0.00192	                                          Total                            :       -61634       1.47212e+09       -6.41044
0.00193	                                          Total                            :       1.59897e+08       -102.55       -2.45238e+06
0.00194	                                          Total                            :       -53513.1       1.45541e+09       -5.52722
0.00195	                                          Total                            :       1.58128e+08       156.97       -2.42183e+06
0.00196	                                          Total                            :       -55728.6       1.43912e+09       -6.21179
0.00197	                                          Total                            :       1.56374e+08       276.075       -2.3885e+06
0.00198	                                          Total                            :       -56388.8       1.42311e+09       -6.40761
0.00199	                                          Total                            :       1.5469e+08       248.351       -2.35926e+06
0.002	                                          Total                            :       -55931.4       1.40759e+09       -5.70126
0.00201	                                          Total                            :       1.53103e+08       407.273       -2.32697e+06
0.00202	                                          Total                            :       -58837.1       1.3933e+09       -7.27251
0.00203	                                          Total                            :       1.51478e+08       339.956       -2.29768e+06
0.00204	                                          Total                            :       -54518.2       1.37843e+09       -6.08137
0.00205	                                          Total                            :       1.49881e+08       720.992       -2.26665e+06
0.00206	                                          Total                            :       -61020.6       1.36379e+09       -6.00183
0.00207	                                          Total                            :       1.48335e+08       1659.45       -2.239e+06
0.00208	                                          Total                            :       -73442.3       1.34954e+09       -5.73717
0.00209	                                          Total                            :       1.46784e+08       -1700.22       -2.20946e+06
0.0021	                                          Total                            :       -43526.2       1.33532e+09       -4.92672
0.00211	                                          Total                            :       1.45267e+08       -853.259       -2.18246e+06
0.00212	                                          Total                            :       -46788       1.32152e+09       -6.12268
0.00213	                                          Total                            :       1.43807e+08       668.747       -2.15574e+06
0.00214	                                          Total                            :       -59942.3       1.30816e+09       -6.05117
0.00215	                                          Total                            :       1.42356e+08       705.373       -2.13068e+06
0.00216	                                          Total                            :       -59822       1.295e+09       -7.63752
0.00217	                                          Total                            :       1.40947e+08       536.174       -2.10409e+06
0.00218	                                          Total                            :       -55942       1.28221e+09       -5.08569
0.00219	                                          Total                            :       1.39573e+08       537.493       -2.08002e+06
0.0022	                                          Total                            :       -56191.6       1.26969e+09       -4.98208
0.00221	                                          Total                            :       1.38223e+08       544.223       -2.05514e+06
0.00222	                                          Total                            :       -57462.4       1.25732e+09       -5.41082
0.00223	                                          Total                            :       1.369e+08       613.838       -2.03021e+06
0.00224	                                          Total                            :       -58324.8       1.24532e+09       -5.64382
0.00225	                                          Total                            :       1.35586e+08       544.214       -2.00549e+06
0.00226	                                          Total                            :       -56909.9       1.23326e+09       -5.41348
0.00227	                                          Total                            :       1.3428e+08       429.568       -1.98667e+06
0.00228	                                          Total                            :       -54584.7       1.22156e+09       -6.35746
0.00229	                                          Total                            :       1.32985e+08       695.51       -1.96109e+06
0.0023	                                          Total                            :       -58035.9       1.20958e+09       -5.36705
0.00231	                                          Total                            :       1.31773e+08       467.482       -1.93855e+06
0.00232	                                          Total                            :       -54607.7       1.19829e+09       -5.94214
0.00233	                                          Total                            :       1.30573e+08       447.048       -1.91596e+06
0.00234	                                          Total                            :       -53622.6       1.18737e+09       -6.08201
0.00235	                                          Total                            :       1.29394e+08       341.843       -1.89512e+06
0.00236	                                          Total                            :       -51889.2       1.17686e+09       -5.52053
0.00237	                                          Total                            :       1.28171e+08       415.491       -1.87313e+06
0.00238	                                          Total                            :       -53322.2       1.16544e+09       -4.74384
0.00239	                                          Total                            :       1.27001e+08       393.754       -1.85224e+06
0.0024	                                          Total                            :       -53337.8       1.15465e+09       -3.34158
0.00241	                                          Total                            :       1.25856e+08       -527.684       -1.83185e+06
0.00242	                                          Total                            :       -41837.8       1.14431e+09       -5.12825
0.00243	                                          Total                            :       1.24724e+08       2917.03       -1.81234e+06
0.00244	                                          Total                            :       -76435       1.13411e+09       -4.73211
0.00245	                                          Total                            :       1.23628e+08       2425.69       -1.79229e+06
0.00246	                                          Total                            :       -70209.6       1.12396e+09       -3.34493
0.00247	                                          Total                            :       1.22551e+08       -156.691       -1.77349e+06
0.00248	                                          Total                            :       -45659       1.11426e+09       -3.42242
0.00249	                                          Total                            :       1.21503e+08       88.9655       -1.75416e+06
0.0025	                                          Total                            :       -46194.5       1.10471e+09       -1.79291
0.00251	                                          Total                            :       1.20467e+08       279.02       -1.73561e+06
0.00252	                                          Total                            :       -46628       1.09527e+09       2.03061
